timestamp,raw,ema,diff,label
1752422579,467,482,-15,0
1752422579,481,482,-1,0
1752422579,492,483,9,0
1752422579,465,481,-16,0
1752422579,448,478,-30,0
1752422579,526,482,44,0
1752422579,447,479,-32,0
1752422579,458,477,-19,0
1752422579,472,476,-4,0
1752422579,487,477,10,0
1752422579,496,479,17,0
1752422579,488,480,8,0
1752422580,468,479,-11,0
1752422580,473,478,-5,0
1752422580,485,479,6,0
1752422580,481,479,2,0
1752422580,477,479,-2,0
1752422580,479,479,0,0
1752422580,487,479,8,0
1752422580,508,482,26,0
1752422580,485,482,3,0
1752422580,456,480,-24,0
1752422580,648,497,151,0
1752422580,462,493,-31,0
1752422580,479,492,-13,0
1752422580,484,491,-7,0
1752422580,511,493,18,0
1752422580,524,496,28,0
1752422580,516,498,18,0
1752422580,495,497,-2,0
1752422580,495,497,-2,0
1752422580,505,498,7,0
1752422580,506,499,7,0
1752422580,503,499,4,0
1752422580,506,500,6,0
1752422580,503,500,3,0
1752422580,516,502,14,0
1752422581,522,504,18,0
1752422581,503,503,0,0
1752422581,667,520,147,0
1752422581,489,517,-28,0
1752422581,491,514,-23,0
1752422581,501,513,-12,0
1752422581,518,513,5,0
1752422581,528,515,13,0
1752422581,533,516,17,0
1752422581,513,516,-3,0
1752422581,499,514,-15,0
1752422581,505,513,-8,0
1752422581,510,513,-3,0
1752422581,504,512,-8,0
1752422581,500,511,-11,0
1752422581,504,510,-6,0
1752422581,512,510,2,0
1752422581,530,512,18,0
1752422581,504,511,-7,0
1752422581,485,509,-24,0
1752422581,637,521,116,0
1752422581,486,518,-32,0
1752422581,491,515,-24,0
1752422581,498,513,-15,0
1752422581,518,514,4,0
1752422582,528,515,13,0
1752422582,524,516,8,0
1752422582,498,514,-16,0
1752422582,497,512,-15,0
1752422582,507,512,-5,0
1752422582,508,511,-3,0
1752422582,503,510,-7,0
1752422582,498,509,-11,0
1752422582,509,509,0,0
1752422582,526,511,15,0
1752422582,493,509,-16,0
1752422582,488,507,-19,0
1752422582,521,508,13,0
1752422582,468,504,-36,0
1752422582,482,502,-20,0
1752422582,499,501,-2,0
1752422582,514,503,11,0
1752422582,524,505,19,0
1752422582,509,505,4,0
1752422582,490,504,-14,0
1752422582,498,503,-5,0
1752422582,504,503,1,0
1752422582,503,503,0,0
1752422582,502,503,-1,0
1752422582,504,503,1,0
1752422583,520,505,15,0
1752422583,532,507,25,0
1752422583,513,508,5,0
1752422583,529,510,19,0
1752422583,530,512,18,0
1752422583,502,511,-9,0
1752422583,513,511,2,0
1752422583,532,513,19,0
1752422583,549,517,32,0
1752422583,562,521,41,0
1752422583,549,524,25,0
1752422583,527,524,3,0
1752422583,532,525,7,0
1752422583,539,526,13,0
1752422583,539,527,12,0
1752422583,534,528,6,0
1752422583,532,528,4,0
1752422583,542,530,12,0
1752422583,557,532,25,0
1752422583,531,532,-1,0
1752422583,503,529,-26,0
1752422583,661,542,119,0
1752422583,503,538,-35,0
1752422583,502,535,-33,0
1752422583,516,533,-17,0
1752422584,535,533,2,0
1752422584,541,534,7,0
1752422584,537,534,3,0
1752422584,504,531,-27,0
1752422584,504,528,-24,0
1752422584,509,526,-17,0
1752422584,506,524,-18,0
1752422584,500,522,-22,0
1752422584,498,519,-21,0
1752422584,500,517,-17,0
1752422584,515,517,-2,0
1752422584,492,514,-22,0
1752422584,466,510,-44,0
1752422584,823,541,282,0
1752422584,469,534,-65,0
1752422584,466,527,-61,0
1752422584,477,522,-45,0
1752422584,491,519,-28,0
1752422584,502,517,-15,0
1752422584,503,515,-12,0
1752422584,475,511,-36,0
1752422584,469,507,-38,0
1752422584,479,504,-25,0
1752422584,476,501,-25,0
1752422584,476,499,-23,0
1752422585,477,497,-20,0
1752422585,487,496,-9,0
1752422585,496,496,0,0
1752422585,469,493,-24,0
1752422585,528,496,32,0
1752422585,467,493,-26,0
1752422585,461,490,-29,0
1752422585,476,489,-13,0
1752422585,492,489,3,0
1752422585,509,491,18,0
1752422585,517,493,24,0
1752422585,500,494,6,0
1752422585,483,493,-10,0
1752422585,492,493,-1,0
1752422585,497,493,4,0
1752422585,498,494,4,0
1752422585,498,494,4,0
1752422585,496,494,2,0
1752422585,514,496,18,0
1752422585,503,497,6,0
1752422585,487,496,-9,0
1752422585,863,532,331,0
1752422585,484,527,-43,0
1752422585,480,523,-43,0
1752422585,497,520,-23,0
1752422586,507,519,-12,0
1752422586,525,519,6,0
1752422586,532,520,12,0
1752422586,493,518,-25,0
1752422586,493,515,-22,0
1752422586,491,513,-22,0
1752422586,500,511,-11,0
1752422586,498,510,-12,0
1752422586,491,508,-17,0
1752422586,501,507,-6,0
1752422586,519,508,11,0
1752422586,494,507,-13,0
1752422586,474,504,-30,0
1752422586,703,523,180,0
1752422586,487,520,-33,0
1752422586,493,517,-24,0
1752422586,502,515,-13,0
1752422586,523,516,7,0
1752422586,535,518,17,0
1752422586,535,520,15,0
1752422586,511,519,-8,0
1752422586,511,518,-7,0
1752422586,517,518,-1,0
1752422586,516,518,-2,0
1752422586,517,517,0,0
1752422587,523,518,5,0
1752422587,545,521,24,0
1752422587,523,521,2,0
1752422587,489,518,-29,0
1752422587,709,537,172,0
1752422587,503,533,-30,0
1752422587,508,531,-23,0
1752422587,518,529,-11,0
1752422587,533,530,3,0
1752422587,544,531,13,0
1752422587,533,531,2,0
1752422587,507,529,-22,0
1752422587,513,527,-14,0
1752422587,523,527,-4,0
1752422587,516,526,-10,0
1752422587,501,523,-22,0
1752422587,509,522,-13,0
1752422587,519,521,-2,0
1752422587,507,520,-13,0
