timestamp,bpm
1752422571.9514143,175
1752422572.9514463,179
1752422573.9523733,179
1752422574.991471,57
1752422575.991477,119
1752422577.0314748,57
1752422578.0728295,230
1752422579.1125507,57
1752422580.151661,230
1752422581.1914287,57
1752422582.191478,59
1752422583.2315247,288
1752422584.2714522,115
1752422585.271758,119
1752422586.3114574,115
1752422587.3516169,173
1752422588.3907702,57
1752422589.391424,539
1752422590.4314635,57
1752422591.4717228,403
1752422592.5112085,173
1752422593.5124078,119
1752422594.551464,173
1752422595.587356,115
1752422596.587422,59
1752422597.591905,119
1752422598.6273785,57
1752422599.6314273,298
1752422600.6670494,57
1752422601.6714299,119
1752422602.671608,119
1752422603.7115676,57
1752422604.7118049,179
1752422605.751948,346
1752422606.791467,115
1752422607.8265042,347
1752422608.8313808,119
1752422609.8714244,57
1752422610.9064748,173
1752422611.9068818,179
1752422612.9471946,115
1752422613.9514523,179
1752422614.9514647,59
1752422615.9864304,115
1752422616.986906,179
1752422617.9872344,179
1752422619.0269535,57
1752422620.0711331,114
1752422621.1063628,57
1752422622.106662,119
1752422623.1067014,59
1752422624.1070242,119
1752422625.1463795,173
1752422626.1471746,119
1752422627.1867921,173
1752422628.2265508,115
1752422629.2664487,115
1752422630.2664812,239
1752422631.3065379,57
1752422632.3463426,288
1752422633.3464482,59
1752422634.3471973,119
1752422635.3478765,59
1752422636.3877802,115
